Name,Total,HP,Attack,Defence,Sp_attack,Sp_defence,Speed
Bulbasaur,318,45,49,49,65,65,45
Ivysaur,405,60,62,63,80,80,60
Venusaur,525,80,82,83,100,100,80
Venusaur,625,80,100,123,122,120,80
Charmander,309,39,52,43,60,50,65
Charmeleon,405,58,64,58,80,65,80
Charizard,534,78,84,78,109,85,100
Charizard,634,78,130,111,130,85,100
Charizard,634,78,104,78,159,115,100
Squirtle,314,44,48,65,50,64,43
Wartortle,405,59,63,80,65,80,58
Blastoise,530,79,83,100,85,105,78
Blastoise,630,79,103,120,135,115,78
Caterpie,195,45,30,35,20,20,45
Metapod,205,50,20,55,25,25,30
Butterfree,395,60,45,50,90,80,70
Weedle,195,40,35,30,20,20,50
Kakuna,205,45,25,50,25,25,35
Beedrill,395,65,90,40,45,80,75
Beedrill,495,65,150,40,15,80,145
Pidgey,251,40,45,40,35,35,56
Pidgeotto,349,63,60,55,50,50,71
Pidgeot,479,83,80,75,70,70,101
Pidgeot,579,83,80,80,135,80,121
Rattata,253,30,56,35,25,35,72
Rattata,253,30,56,35,25,35,72
Raticate,413,55,81,60,50,70,97
Raticate,413,75,71,70,40,80,77
Spearow,262,40,60,30,31,31,70
Fearow,442,65,90,65,61,61,100
Ekans,288,35,60,44,40,54,55
Arbok,448,60,95,69,65,79,80
Pikachu,320,35,55,40,50,50,90
Pikachu,430,45,80,50,75,60,120
Raichu,485,60,90,55,90,80,110
Raichu,485,60,85,50,95,85,110
Sandshrew,300,50,75,85,20,30,40
Sandshrew,300,50,75,90,10,35,40
Sandslash,450,75,100,110,45,55,65
Sandslash,450,75,100,120,25,65,65
Nidoran♀,275,55,47,52,40,40,41
Nidorina,365,70,62,67,55,55,56
Nidoqueen,505,90,92,87,75,85,76
Nidoran♂,273,46,57,40,40,40,50
Nidorino,365,61,72,57,55,55,65
Nidoking,505,81,102,77,85,75,85
Clefairy,323,70,45,48,60,65,35
Clefable,483,95,70,73,95,90,60
Vulpix,299,38,41,40,50,65,65
Vulpix,299,38,41,40,50,65,65
Ninetales,505,73,76,75,81,100,100
Ninetales,505,73,67,75,81,100,109
Jigglypuff,270,115,45,20,45,25,20
Wigglytuff,435,140,70,45,85,50,45
Zubat,245,40,45,35,30,40,55
Golbat,455,75,80,70,65,75,90
Oddish,320,45,50,55,75,65,30
Gloom,395,60,65,70,85,75,40
Vileplume,490,75,80,85,110,90,50
Paras,285,35,70,55,45,55,25
Parasect,405,60,95,80,60,80,30
Venonat,305,60,55,50,40,55,45
Venomoth,450,70,65,60,90,75,90
Diglett,265,10,55,25,35,45,95
Diglett,265,10,55,30,35,45,90
Dugtrio,425,35,100,50,50,70,120
Dugtrio,425,35,100,60,50,70,110
Meowth,290,40,45,35,40,40,90
Meowth,290,40,35,35,50,40,90
